feature,correlation
Education,0.11370704872299255
Property_Area,0.08205471516957959
loan_to_income_ratio,0.0659673829212564
CoapplicantIncome_log,0.044783125881618265
income_to_loan_ratio,0.041774047299564104
LoanAmount_log,0.032370618921494516
applicant_income_share,0.03206947003516952
Married,0.03184688165844078
Dependents,0.03145083626208931
emi,0.026956031681937838
LoanAmount,0.026956031681937834
Gender,0.024966255942845003
balance_income,0.01665617062267507
ApplicantIncome_log,0.014751452051047902
total_income,0.014284434443758145
ApplicantIncome,0.013278617385021554
Self_Employed,0.007305054890193075
CoapplicantIncome,0.0026882814184322527
Loan_Amount_Term,
Credit_History,
loan_term_years,
